Carimbo de data/hora,"Aceita participar?",Qual sua idade?  ,Qual o seu curso atual?  ,Qual o seu semestre atual?  ,Qual o seu principal objetivo na TI?  ,"Voc√™ j√° participou de algum projeto, pesquisa ou extens√£o relacionado a jogos digitais?  ",Voc√™ joga jogos digitais atualmente?  ,Voc√™ tem interesse em trabalhar na √°rea de desenvolvimento de jogos?  ,Voc√™ sabia que existem as disciplinas optativas Introdu√ß√£o ao Desenvolvimento de Jogos (QXD0078) e Jogos Eletr√¥nicos (QXD0205) no campus?  ,Voc√™ j√° tentou se matricular em alguma dessas disciplinas?  ,"Caso n√£o tenha conseguido cursar, isso afetou de alguma forma sua motiva√ß√£o em rela√ß√£o ao curso?  ","Na sua opini√£o, deveria haver mais disciplinas obrigat√≥rias ou optativas voltadas para jogos no Campus Quixad√°?  ",Voc√™ considera que a falta de oferta suficiente de disciplinas de jogos contribui para a desmotiva√ß√£o acad√™mica de alguns alunos?  ,O seu interesse por jogos digitais influenciou sua decis√£o de cursar uma gradua√ß√£o em T.I?  ,"Antes de entrar na UFC Quixad√°, voc√™ j√° pensava em trabalhar com jogos digitais?  ",Voc√™ acredita que mais disciplinas de jogos poderiam aumentar o interesse e a motiva√ß√£o dos alunos nos cursos da UFC Quixad√°?  ,"Voc√™ conhece colegas que entraram no curso por causa do interesse em jogos, mas ficaram frustrados/desmotivados pela falta de disciplinas na √°rea?  ","Voc√™ j√° ouviu falar de algum grupo, projeto ou c√©lula de desenvolvimento de jogos digitais dentro da UFC Quixad√°?  ",Voc√™ j√° participou ou participa de algum grupo de desenvolvimento de jogos digitais?  ,"Na sua opini√£o, a exist√™ncia de grupos de desenvolvimento de jogos dentro da universidade poderia aumentar a motiva√ß√£o acad√™mica dos alunos interessados em jogos digitais?  ",Deixe aqui seus coment√°rios ou sugest√µes sobre como o Campus poderia melhorar a oferta de conte√∫dos relacionados a jogos digitais:  
24/09/2025 10:56:50,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 18 a 20 anos,Design Digital,2º Semestre,Exercer uma profissão relacionada ao meu curso,Não,"Sim, frequentemente","Tenho interesse, mas não é minha prioridade","Sim, sabia de ambas",Não tentei,Não afetou minha motivação,"Sim, optativas",Talvez,"Sim, foi um dos motivos","Tinha interesse, mas também em outras áreas",Sim,Não conheço casos assim,"Já ouvi falar, mas não sei detalhes","Não, mas tenho interesse em participar",Sim,
24/09/2025 13:13:15,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 18 a 20 anos,Engenharia de Software,Não sei em que semestre estou,Exercer uma profissão relacionada ao meu curso,Sim,"Sim, frequentemente","Tenho interesse, mas não é minha prioridade","Sim, sabia de ambas",Não tentei,"Sim, me desmotivou um pouco","Sim, optativas",Sim,"Sim, foi um dos motivos","Tinha interesse, mas também em outras áreas",Sim,"Sim, conheço alguns","Sim, conheço bem",Já participei no passado,Sim,
24/09/2025 13:28:36,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 18 a 20 anos,Engenharia de Software,4º Semestre,Exercer uma profissão relacionada ao meu curso,Não,"Sim, frequentemente","Tenho interesse, mas não é minha prioridade",Sabia de apenas de Introdução ao Desenvolvimento de Jogos,Não tentei,Não afetou minha motivação,"Sim, ambos",Nunca pensei a respeito,"Sim, foi um dos motivos","Tinha interesse, mas também em outras áreas",Sim,"Sim, conheço alguns",Não conheço,"Não, mas tenho interesse em participar",Sim,"Acredito que é uma área da tecnologia pouco explorada em universidades, o mercado de trabalho também exige muitos anos de experiência, projetos e participações em outras empresas, isso acaba deixando o funil de vagas mais estreito. Caso houvesse uma disciplina/ bolsas ou até parceria com empresas de jogos Indie (mais acessível pois precisam de desenvolvedores) os alunos teriam um portifólio legal para aplicar em vagas."
24/09/2025 13:32:05,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 18 a 20 anos,Engenharia de Software,4º Semestre,Exercer uma profissão relacionada ao meu curso,Não,"Sim, frequentemente","Tenho interesse, mas não é minha prioridade",Sabia de apenas de Introdução ao Desenvolvimento de Jogos,Não tentei,Não afetou minha motivação,"Sim, optativas",Nunca pensei a respeito,"Sim, foi um dos motivos","Tinha interesse, mas também em outras áreas",Talvez,Não conheço casos assim,"Já ouvi falar, mas não sei detalhes","Não, mas tenho interesse em participar",Sim,
24/09/2025 14:34:02,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 18 a 20 anos,Redes de Computadores,2º Semestre,Seguir a área acadêmica,Não,"Sim, frequentemente","Tenho interesse, mas não é minha prioridade",Não,Não tentei,"Sim, me desmotivou um pouco","Sim, obrigatórias",Sim,"Sim, foi um dos motivos","Tinha interesse, mas também em outras áreas",Sim,"Sim, conheço vários",Não conheço,"Não, mas tenho interesse em participar",Sim,
24/09/2025 14:34:17,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 18 a 20 anos,Engenharia de Software,4º Semestre,Exercer uma profissão relacionada ao meu curso,Não,"Sim, às vezes",Pouco interesse,"Sim, sabia de ambas",Não tentei,Não afetou minha motivação,"Sim, obrigatórias",Sim,"Sim, foi um dos motivos","Não, nunca pensei nisso",Sim,Não conheço casos assim,"Sim, conheço bem","Não, mas tenho interesse em participar",Sim,Mais vagas nas disciplinas de Jogos ou mais turmas.
24/09/2025 21:50:21,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 18 a 20 anos,Engenharia de Software,2º Semestre,Exercer uma profissão relacionada ao meu curso,Não,"Sim, frequentemente","Tenho interesse, mas não é minha prioridade",Não,Não tentei,Não afetou minha motivação,"Sim, optativas",Sim,"Sim, foi um dos motivos","Tinha interesse, mas também em outras áreas",Sim,"Sim, conheço alguns","Já ouvi falar, mas não sei detalhes","Não, mas tenho interesse em participar",Sim,
25/09/2025 09:58:39,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 18 a 20 anos,Engenharia de Software,4º Semestre,Desenvolver meus próprios sistemas,Não,"Sim, frequentemente",Pouco interesse,Sabia de apenas de Introdução ao Desenvolvimento de Jogos,Não tentei,Não afetou minha motivação,"Sim, optativas",Talvez,"Não, não teve influência","Não, nunca pensei nisso",Talvez,Não conheço casos assim,"Sim, conheço bem","Não, e não tenho interesse",Talvez,Ofertar cadeiras de jogos.
25/09/2025 12:33:29,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 18 a 20 anos,Redes de Computadores,2º Semestre,Desenvolver Jogos Digitais,Não,"Sim, frequentemente","Sim, é meu maior interesse","Sim, sabia de ambas",Não tentei,Não afetou minha motivação,"Sim, obrigatórias",Sim,"Sim, foi um dos motivos","Sim, era meu objetivo principal",Sim,"Sim, conheço alguns","Sim, conheço bem","Não, mas tenho interesse em participar",Sim,.
25/09/2025 12:35:32,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 18 a 20 anos,Sistemas da Informação,4º Semestre,Exercer uma profissão relacionada ao meu curso,Não,"Sim, frequentemente",Pouco interesse,"Sim, sabia de ambas",Não tentei,,"Sim, optativas",Talvez,"Não, não teve influência","Tinha interesse, mas também em outras áreas",Talvez,Não conheço casos assim,"Já ouvi falar, mas não sei detalhes","Não, e não tenho interesse",Talvez,
25/09/2025 12:38:39,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 18 a 20 anos,Engenharia de Software,2º Semestre,Desenvolver Jogos Digitais,Sim,"Sim, frequentemente","Sim, é meu maior interesse",Sabia de apenas de Introdução ao Desenvolvimento de Jogos,Não tentei,,"Sim, optativas",Sim,"Sim, foi um dos motivos","Sim, era meu objetivo principal",Sim,"Sim, conheço alguns","Sim, conheço bem",Já participei no passado,Sim,"""Destrinchar"" os aspectos (artisticos, técnicos e de mercado) em cadeiras"
25/09/2025 12:45:16,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 18 a 20 anos,Engenharia de Software,2º Semestre,Exercer uma profissão relacionada ao meu curso,Não,"Sim, frequentemente",Pouco interesse,Não,Não sabia da existência delas,,"Sim, optativas",Nunca pensei a respeito,"Não, não teve influência","Não, nunca pensei nisso",Talvez,Não conheço casos assim,"Já ouvi falar, mas não sei detalhes","Não, e não tenho interesse",Sim,
25/09/2025 13:17:21,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 18 a 20 anos,Sistemas da Informação,2º Semestre,Desenvolver meus próprios sistemas,Não,Raramente,Pouco interesse,Não,Não sabia da existência delas,Não afetou minha motivação,"Sim, optativas",Talvez,"Não, não teve influência","Não, nunca pensei nisso",Talvez,Não conheço casos assim,Não conheço,"Não, mas tenho interesse em participar",Sim,
25/09/2025 18:19:28,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 18 a 20 anos,Engenharia da Computação,2º Semestre,Desenvolver Jogos Digitais,Sim,"Sim, frequentemente","Sim, é meu maior interesse",Não,Não sabia da existência delas,,"Sim, ambos",Nunca pensei a respeito,"Sim, foi o principal motivo","Sim, era meu objetivo principal",Sim,"Sim, conheço alguns","Já ouvi falar, mas não sei detalhes","Não, mas tenho interesse em participar",Sim,
26/09/2025 11:11:08,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 18 a 20 anos,Engenharia de Software,2º Semestre,Desenvolver Jogos Digitais,Não,"Sim, frequentemente","Sim, é meu maior interesse",Sabia de apenas de Introdução ao Desenvolvimento de Jogos,Não tentei,,"Sim, optativas",Sim,"Sim, foi um dos motivos","Sim, era meu objetivo principal",Sim,"Sim, conheço alguns","Sim, conheço bem",Já participei no passado,Sim,"Poderiam dividir a área de game design em aspectos técnicos, artísticos e logísticos, e oferecer cada uma dessas áreas como optativas"
26/09/2025 11:13:44,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 18 a 20 anos,Sistemas da Informação,4º Semestre,Seguir a área acadêmica,Não,Não jogo,Pouco interesse,Sabia de apenas de Introdução ao Desenvolvimento de Jogos,Não tentei,Não afetou minha motivação,"Sim, optativas",Nunca pensei a respeito,"Não, não teve influência","Não, nunca pensei nisso",Não,Não conheço casos assim,"Já ouvi falar, mas não sei detalhes","Não, e não tenho interesse",Talvez,.
26/09/2025 12:03:24,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 26 a 30 anos,Sistemas da Informação,Formado,Exercer uma profissão relacionada ao meu curso,Sim,"Sim, às vezes",Pouco interesse,Não,Não sabia da existência delas,Não afetou minha motivação,"Sim, obrigatórias",Talvez,"Não, não teve influência","Não, nunca pensei nisso",Sim,"Sim, conheço alguns","Já ouvi falar, mas não sei detalhes",Já participei no passado,Sim,
26/09/2025 12:54:12,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 18 a 20 anos,Engenharia da Computação,2º Semestre,Exercer uma profissão relacionada ao meu curso,Não,Raramente,"Tenho interesse, mas não é minha prioridade",Sabia de apenas de Introdução ao Desenvolvimento de Jogos,Não tentei,,"Sim, ambos",Sim,"Sim, foi um dos motivos","Tinha interesse, mas também em outras áreas",Sim,Não conheço casos assim,"Já ouvi falar, mas não sei detalhes","Não, mas tenho interesse em participar",Talvez,
26/09/2025 15:07:20,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 18 a 20 anos,Engenharia de Software,6º Semestre,Exercer uma profissão relacionada ao meu curso,Sim,"Sim, frequentemente",Pouco interesse,"Sim, sabia de ambas","Sim, consegui cursar",,"Sim, optativas",Sim,"Não, não teve influência","Não, nunca pensei nisso",Talvez,Não conheço casos assim,Não conheço,"Não, e não tenho interesse",Sim,
26/09/2025 16:54:46,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 21 a 23 anos,Ciência da Computação,8º Semestre,Exercer uma profissão relacionada ao meu curso,Não,"Sim, frequentemente",Pouco interesse,Sabia de apenas de Introdução ao Desenvolvimento de Jogos,"Sim, mas não consegui vaga",Não afetou minha motivação,"Sim, ambos",Sim,"Sim, foi um dos motivos","Tinha interesse, mas também em outras áreas",Sim,Não conheço casos assim,Não conheço,"Não, mas tenho interesse em participar",Sim,
28/09/2025 21:50:08,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 21 a 23 anos,Engenharia de Software,10º Semestre,Exercer uma profissão relacionada ao meu curso,Sim,"Sim, às vezes","Tenho interesse, mas não é minha prioridade","Sim, sabia de ambas","Sim, consegui cursar",,"Sim, optativas",Talvez,"Não, não teve influência","Tinha interesse, mas também em outras áreas",Sim,Não conheço casos assim,"Sim, conheço bem","Sim, atualmente participo",Sim,
29/09/2025 12:27:26,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 18 a 20 anos,Engenharia de Software,4º Semestre,Seguir a área acadêmica,Não,"Sim, às vezes",Pouco interesse,Sabia de apenas de Introdução ao Desenvolvimento de Jogos,Não tentei,Não afetou minha motivação,"Sim, obrigatórias",Talvez,"Sim, foi o principal motivo","Tinha interesse, mas também em outras áreas",Talvez,"Sim, conheço vários","Sim, conheço bem","Não, e não tenho interesse",Sim,"Acho que um dos pontos que não me faz participar mais de eventos ou grupos de jogos é devido ao conflito com os horários do meu curso, pois normalmente é a tarde e não tem durante a manhã, outro ponto é que devido ao mercado de trabalho, como optativas decidi escolher as que são voltadas a matemática do que as que realmente gostaria de pegar e que eu gostaria de aprender."
29/09/2025 14:45:19,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 18 a 20 anos,Ciência da Computação,2º Semestre,Desenvolver meus próprios sistemas,Não,"Sim, frequentemente","Tenho interesse, mas não é minha prioridade","Sim, sabia de ambas",Não tentei,,"Sim, optativas",Sim,"Sim, foi um dos motivos","Tinha interesse, mas também em outras áreas",Sim,"Sim, conheço alguns",Não conheço,"Não, mas tenho interesse em participar",Sim,
29/09/2025 15:30:58,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 24 a 25 anos,Engenharia de Software,4º Semestre,Exercer uma profissão relacionada ao meu curso,Sim,"Sim, às vezes",Pouco interesse,"Sim, sabia de ambas","Sim, mas não consegui vaga","Sim, me desmotivou um pouco","Sim, optativas",Sim,"Sim, foi um dos motivos","Tinha interesse, mas também em outras áreas",Sim,Não conheço casos assim,"Já ouvi falar, mas não sei detalhes",Já participei no passado,Talvez,
29/09/2025 23:37:29,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 18 a 20 anos,Engenharia de Software,4º Semestre,Exercer uma profissão relacionada ao meu curso,Não,"Sim, frequentemente",Pouco interesse,Sabia de apenas de Introdução ao Desenvolvimento de Jogos,Não tentei,Não afetou minha motivação,"Sim, optativas",Talvez,"Sim, foi um dos motivos","Tinha interesse, mas também em outras áreas",Sim,"Sim, conheço vários","Sim, conheço bem",Já participei no passado,Sim,
30/09/2025 16:06:19,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 18 a 20 anos,Design Digital,2º Semestre,Exercer uma profissão relacionada ao meu curso,Não,"Sim, frequentemente",Pouco interesse,Não,Não sabia da existência delas,Não afetou minha motivação,"Sim, optativas",Sim,"Não, não teve influência","Não, nunca pensei nisso",Sim,"Sim, conheço alguns",Não conheço,"Não, e não tenho interesse",Sim,
02/10/2025 13:18:52,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 18 a 20 anos,Ciência da Computação,4º Semestre,Seguir a área acadêmica,Não,"Sim, às vezes","Tenho interesse, mas não é minha prioridade",Sabia de apenas de Introdução ao Desenvolvimento de Jogos,Não tentei,"Sim, me desmotivou um pouco","Sim, obrigatórias",Sim,"Sim, foi um dos motivos","Não, nunca pensei nisso",Sim,Não conheço casos assim,"Já ouvi falar, mas não sei detalhes","Não, mas tenho interesse em participar",Sim,
02/10/2025 14:16:07,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 21 a 23 anos,Engenharia de Software,10º Semestre,"Atualmente pretendo seguir tanto na areá acadêmica, quanto exercer uma profissão no mercado. ",Não,"Sim, frequentemente","Tenho interesse, mas não é minha prioridade","Sim, sabia de ambas","Sim, mas não consegui vaga","Sim, me desmotivou um pouco","Sim, optativas",Sim,"Não, não teve influência","Tinha interesse, mas também em outras áreas",Sim,"Sim, conheço alguns","Já ouvi falar, mas não sei detalhes","Não, mas tenho interesse em participar",Sim,"Como não temos muitas iniciativas relacionas ao tema, nunca nem pensei necessáriamente em participar de grupos de desenvolvimentos de jogos, mas com certeza se houvesse a oportunidade, muitas pessoas estariam interessadas. "
03/10/2025 14:35:59,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 18 a 20 anos,Ciência da Computação,2º Semestre,Exercer uma profissão relacionada ao meu curso,Não,"Sim, às vezes","Tenho interesse, mas não é minha prioridade",Não,Não sabia da existência delas,Não afetou minha motivação,"Sim, optativas",Sim,"Não, não teve influência","Tinha interesse, mas também em outras áreas",Sim,"Sim, conheço alguns","Já ouvi falar, mas não sei detalhes","Não, mas tenho interesse em participar",Sim,